Zip Code,Number of Employees,Number in Org A,Number in Org B,Number in Org C,Number in Org D,Number in Org E,Number in Org F,Number in Org G,Number in Org H,Number in Org I,Number in Org J,Number in Org K,Number in Org L,"Driving Minutes to White House Station, NJ","Driving Minutes to Kenilworth, NJ","Driving Minutes to West Point, PA",Change in Duration for Kenilworth Move,Change in Duration for West Point Move
07853,10,0,2,1,4,2,0,0,1,0,0,0,0,25.6666666667,48.5333333333,83.85,22.8666666667,58.1833333333
08801,29,0,3,3,6,9,4,3,1,0,0,0,0,14.3666666667,39.3166666667,62.5166666667,24.95,48.15
07832,2,0,0,0,1,1,0,0,0,0,0,0,0,55,66.5666666667,90.3833333333,11.5666666667,35.3833333333
18210,1,0,0,1,0,0,0,0,0,0,0,0,0,82.25,104.4666666667,77.9333333333,22.2166666667,-4.3166666667
07023,10,0,1,0,1,6,1,0,1,0,0,0,0,31.65,14.05,88.4333333333,-17.6,56.7833333333
07677,1,0,0,0,1,0,0,0,0,0,0,0,0,64.6833333333,36.4833333333,121.3666666667,-28.2,56.6833333333
48108,1,0,0,0,1,0,0,0,0,0,0,0,0,532.3666666667,543.5166666667,515.7333333333,11.15,-16.6333333333
07016,17,0,0,0,7,3,3,0,3,1,0,0,0,40.25,5.4166666667,89.4833333333,-34.8333333333,49.2333333333
07825,4,0,1,0,0,1,1,1,0,0,0,0,0,59.4166666667,63.8166666667,98.3166666667,4.4,38.9
08837,6,0,2,0,2,2,0,0,0,0,0,0,0,32.8333333333,20.0333333333,77.95,-12.8,45.1166666667
08060,2,0,2,0,0,0,0,0,0,0,0,0,0,66.9833333333,62.0833333333,52.05,-4.9,-14.9333333333
18040,22,0,4,0,3,9,5,1,0,0,0,0,0,42.6166666667,67.5,63.9,24.8833333333,21.2833333333
07928,15,1,1,1,6,1,3,1,1,0,0,0,0,34.7833333333,20.95,92.8166666667,-13.8333333333,58.0333333333
19382,2,0,1,0,0,0,1,0,0,0,0,0,0,104.7333333333,115.35,49.2166666667,10.6166666667,-55.5166666667
07083,16,0,6,0,2,1,4,1,1,1,0,0,0,39.8333333333,6.6166666667,92.5333333333,-33.2166666667,52.7
08724,2,0,0,0,1,0,1,0,0,0,0,0,0,71.1166666667,52.7833333333,85.0166666667,-18.3333333333,13.9
07010,1,0,0,0,0,0,0,0,0,1,0,0,0,59.35,33.3333333333,109.5166666667,-26.0166666667,50.1666666667
08854,26,1,7,1,5,6,5,0,0,1,0,0,0,25.15,24.4333333333,79.65,-0.7166666667,54.5
19020,4,0,2,0,0,0,2,0,0,0,0,0,0,59.9333333333,69.65,36.8166666667,9.7166666667,-23.1166666667
07054,4,0,3,0,1,0,0,0,0,0,0,0,0,36.9166666667,28.0333333333,94.5333333333,-8.8833333333,57.6166666667
07930,8,0,2,0,2,2,1,1,0,0,0,0,0,30.7,43.5,87.7166666667,12.8,57.0166666667
08540,22,1,5,1,7,2,4,1,0,0,0,0,1,34.9833333333,47.6333333333,63.1833333333,12.65,28.2
18036,5,0,1,0,2,2,0,0,0,0,0,0,0,53.1,77.9833333333,33.6,24.8833333333,-19.5
07202,2,0,0,0,1,0,1,0,0,0,0,0,0,46.1,14.0833333333,87.1,-32.0166666667,41
07059,23,0,7,1,3,7,3,1,1,0,0,0,0,25.4666666667,26.3333333333,81.8166666667,0.8666666667,56.35
07974,8,1,4,1,1,1,0,0,0,0,0,0,0,30.7,20.0333333333,88.7333333333,-10.6666666667,58.0333333333
18034,4,0,0,0,2,1,0,0,1,0,0,0,0,44.9333333333,69.8166666667,39.45,24.8833333333,-5.4833333333
07027,3,0,0,1,1,0,0,0,0,1,0,0,0,37.25,7.95,90.0333333333,-29.3,52.7833333333
08826,19,0,8,0,6,3,2,0,0,0,0,0,0,29.45,54.5166666667,80.9,25.0666666667,51.45
07821,1,0,0,0,0,1,0,0,0,0,0,0,0,52.6166666667,49.9333333333,103.7166666667,-2.6833333333,51.1
07042,2,0,0,0,1,0,0,0,1,0,0,0,0,49.85,21.6666666667,106.4166666667,-28.1833333333,56.5666666667
07823,4,0,1,2,0,1,0,0,0,0,0,0,0,39.4333333333,64.3166666667,76.3666666667,24.8833333333,36.9333333333
10977,2,0,0,0,0,0,0,0,2,0,0,0,0,67.7333333333,43.25,125.35,-24.4833333333,57.6166666667
19422,7,0,3,0,3,1,0,0,0,0,0,0,0,65.9166666667,88.8666666667,8.1,22.95,-57.8166666667
07960,29,1,4,1,9,11,1,1,1,0,0,0,0,28.4666666667,28.6166666667,86.0833333333,0.15,57.6166666667
07860,2,0,0,0,0,0,1,0,1,0,0,0,0,62.6166666667,60.8833333333,106.1166666667,-1.7333333333,43.5
07036,9,0,3,3,0,2,0,1,0,0,0,0,0,45.5166666667,15.4833333333,89.4333333333,-30.0333333333,43.9166666667
08802,18,0,6,2,3,4,2,1,0,0,0,0,0,24.2166666667,49.1,66.55,24.8833333333,42.3333333333
19075,1,0,1,0,0,0,0,0,0,0,0,0,0,68.55,79.4666666667,19.1833333333,10.9166666667,-49.3666666667
18020,15,0,4,1,1,6,2,1,0,0,0,0,0,41.9666666667,66.85,51.6166666667,24.8833333333,9.65
07306,2,0,0,0,0,0,1,0,0,1,0,0,0,48.7166666667,22.4833333333,100.0166666667,-26.2333333333,51.3
19355,2,0,0,1,0,0,1,0,0,0,0,0,0,87.2166666667,97.8333333333,32.2,10.6166666667,-55.0166666667
07826,2,0,0,0,0,1,0,0,1,0,0,0,0,97.05,88.6666666667,141.7833333333,-8.3833333333,44.7333333333
11374,2,0,1,0,1,0,0,0,0,0,0,0,0,70.4333333333,44.2,121.9833333333,-26.2333333333,51.55
07885,1,0,1,0,0,0,0,0,0,0,0,0,0,46.6166666667,38.2333333333,104.2333333333,-8.3833333333,57.6166666667
19426,13,0,1,0,4,0,7,1,0,0,0,0,0,84.4,101.45,20,17.05,-64.4
08882,2,0,0,0,2,0,0,0,0,0,0,0,0,40.2166666667,29.3666666667,77.7666666667,-10.85,37.55
10310,1,1,0,0,0,0,0,0,0,0,0,0,0,53.9833333333,27.5833333333,96.4166666667,-26.4,42.4333333333
19462,1,0,0,0,0,0,1,0,0,0,0,0,0,84.9666666667,95.5833333333,29.55,10.6166666667,-55.4166666667
07670,1,0,0,0,1,0,0,0,0,0,0,0,0,63.4833333333,37.4666666667,113.6666666667,-26.0166666667,50.1833333333
07931,4,0,1,0,1,0,0,1,1,0,0,0,0,23.6166666667,37.0166666667,81.2333333333,13.4,57.6166666667
07882,12,0,2,0,4,3,1,1,1,0,0,0,0,33.8833333333,58.7666666667,73.85,24.8833333333,39.9666666667
07945,7,1,1,0,2,1,2,0,0,0,0,0,0,32.2833333333,36.5666666667,89.9,4.2833333333,57.6166666667
07076,19,1,1,1,5,4,4,0,1,2,0,0,0,35.5166666667,15.4666666667,92.6833333333,-20.05,57.1666666667
98346,1,0,0,0,0,0,0,0,1,0,0,0,0,2524.0833333333,2535.2333333333,2507.45,11.15,-16.6333333333
08512,1,0,0,0,0,1,0,0,0,0,0,0,0,49.7666666667,36.3833333333,63.8666666667,-13.3833333333,14.1
07701,3,0,0,0,3,0,0,0,0,0,0,0,0,56.45,38.1166666667,95.35,-18.3333333333,38.9
07676,1,0,0,0,1,0,0,0,0,0,0,0,0,63.8,35.6,120.4833333333,-28.2,56.6833333333
08850,5,0,0,0,2,0,1,2,0,0,0,0,0,38.0166666667,29.3333333333,76.7,-8.6833333333,38.6833333333
07067,11,0,0,1,1,2,4,1,1,1,0,0,0,40.8666666667,15.9166666667,85.5666666667,-24.95,44.7
07922,10,0,0,2,2,1,3,2,0,0,0,0,0,28.0333333333,19.4166666667,86.05,-8.6166666667,58.0166666667
07940,13,0,1,2,2,3,2,1,2,0,0,0,0,33.3666666667,22.5833333333,90.9833333333,-10.7833333333,57.6166666667
08846,6,0,0,0,1,2,2,1,0,0,0,0,0,23.9166666667,26.4666666667,78.4166666667,2.55,54.5
18042,15,0,2,2,4,3,2,1,1,0,0,0,0,33.2833333333,58.1666666667,56.0333333333,24.8833333333,22.75
18925,5,0,1,0,3,0,1,0,0,0,0,0,0,45.1166666667,77.15,29.95,32.0333333333,-15.1666666667
08559,8,0,3,0,1,2,1,1,0,0,0,0,0,28.3,60.9666666667,42.3333333333,32.6666666667,14.0333333333
18960,3,0,2,0,0,0,1,0,0,0,0,0,0,65.5666666667,89.95,20.7666666667,24.3833333333,-44.8
18901,33,0,3,3,9,6,9,0,3,0,0,0,0,45.6333333333,77.6666666667,24.35,32.0333333333,-21.2833333333
18052,5,0,1,1,0,0,2,0,1,0,0,0,0,57.1666666667,82.05,45.8333333333,24.8833333333,-11.3333333333
18920,1,0,0,0,0,0,0,0,1,0,0,0,0,34.7666666667,62.1833333333,45.55,27.4166666667,10.7833333333
08867,14,1,4,1,4,1,2,1,0,0,0,0,0,23.8333333333,48.35,58.7166666667,24.5166666667,34.8833333333
07078,7,0,0,5,1,0,0,1,0,0,0,0,0,35.1,16.75,93.1333333333,-18.35,58.0333333333
07803,1,0,1,0,0,0,0,0,0,0,0,0,0,44.05,37.8666666667,101.6666666667,-6.1833333333,57.6166666667
08755,1,0,0,0,0,0,0,0,1,0,0,0,0,76.8833333333,58.55,84.8833333333,-18.3333333333,8
07002,3,0,1,0,0,1,0,0,0,1,0,0,0,48.4833333333,22.4666666667,96.3833333333,-26.0166666667,47.9
18929,4,0,1,0,1,2,0,0,0,0,0,0,0,47.25,79.2833333333,28.9333333333,32.0333333333,-18.3166666667
10022,1,0,0,0,0,0,0,1,0,0,0,0,0,63.4,37.1666666667,113.95,-26.2333333333,50.55
17111,1,0,1,0,0,0,0,0,0,0,0,0,0,123.9,148.7833333333,102.55,24.8833333333,-21.35
08857,9,0,2,1,2,3,0,0,1,0,0,0,0,43.65,30.4166666667,80.1166666667,-13.2333333333,36.4666666667
07456,2,0,0,1,1,0,0,0,0,0,0,0,0,60.3,51.9166666667,117.9166666667,-8.3833333333,57.6166666667
38117,1,0,1,0,0,0,0,0,0,0,0,0,0,912.1333333333,937.0166666667,894.6833333333,24.8833333333,-17.45
19403,7,0,3,0,3,0,1,0,0,0,0,0,0,76.0166666667,93.0666666667,13.7,17.05,-62.3166666667
10001,1,0,0,0,1,0,0,0,0,0,0,0,0,57.1333333333,31.1166666667,106.5833333333,-26.0166666667,49.45
07840,15,1,7,1,1,3,1,1,0,0,0,0,0,39.2,55.1666666667,92.75,15.9666666667,53.55
08809,24,0,7,4,4,3,2,2,2,0,0,0,0,22.3,47.1833333333,69.4333333333,24.8833333333,47.1333333333
07063,3,0,1,0,0,1,0,0,1,0,0,0,0,28.2,20.6,82.7166666667,-7.6,54.5166666667
18343,2,0,2,0,0,0,0,0,0,0,0,0,0,53.7333333333,65.5333333333,83.9833333333,11.8,30.25
07753,2,0,0,0,0,2,0,0,0,0,0,0,0,57.4333333333,39.1,80.7,-18.3333333333,23.2666666667
07924,5,0,2,2,0,1,0,0,0,0,0,0,0,26.1833333333,35.2,83.8,9.0166666667,57.6166666667
07463,1,0,1,0,0,0,0,0,0,0,0,0,0,59.4833333333,37.9,117.1,-21.5833333333,57.6166666667
10993,1,0,1,0,0,0,0,0,0,0,0,0,0,81.1,58.3,138.7166666667,-22.8,57.6166666667
18103,7,0,2,0,3,2,0,0,0,0,0,0,0,51.65,76.5333333333,44.85,24.8833333333,-6.8
12060,1,0,0,0,0,0,0,1,0,0,0,0,0,168.8,155.0666666667,226.4166666667,-13.7333333333,57.6166666667
02043,2,0,0,0,2,0,0,0,0,0,0,0,0,282.1833333333,256.1666666667,332.3666666667,-26.0166666667,50.1833333333
07438,1,0,1,0,0,0,0,0,0,0,0,0,0,58.9333333333,50.55,116.55,-8.3833333333,57.6166666667
19116,1,0,1,0,0,0,0,0,0,0,0,0,0,60.9833333333,71.95,37.85,10.9666666667,-23.1333333333
19002,4,0,0,0,1,0,2,1,0,0,0,0,0,60.8166666667,80.2166666667,11.3,19.4,-49.5166666667
08501,2,0,0,0,1,0,1,0,0,0,0,0,0,59.8833333333,48.5,54.65,-11.3833333333,-5.2333333333
18054,3,0,1,0,1,0,1,0,0,0,0,0,0,76.05,100.9333333333,26.75,24.8833333333,-49.3
07436,2,0,0,0,0,1,0,0,1,0,0,0,0,50.4333333333,41.5833333333,108.05,-8.85,57.6166666667
18938,12,0,0,1,2,2,6,1,0,0,0,0,0,32.7333333333,64.7666666667,34.4,32.0333333333,1.6666666667
08050,3,0,0,0,0,1,2,0,0,0,0,0,0,93.8833333333,75.55,95.8166666667,-18.3333333333,1.9333333333
08848,22,0,8,1,1,6,4,1,1,0,0,0,0,29.6666666667,54.55,57.9333333333,24.8833333333,28.2666666667
18914,10,0,2,0,5,0,3,0,0,0,0,0,0,54.5666666667,86.6,16.35,32.0333333333,-38.2166666667
07401,2,0,0,0,0,1,0,1,0,0,0,0,0,60.0833333333,37.95,117.7,-22.1333333333,57.6166666667
07033,6,0,0,0,3,2,0,0,0,1,0,0,0,40.0833333333,0,89.9833333333,-40.0833333333,49.9
19130,3,0,1,0,2,0,0,0,0,0,0,0,0,76.6166666667,88.3333333333,38.9166666667,11.7166666667,-37.7
33067,1,0,0,0,0,0,1,0,0,0,0,0,0,1067.5666666667,1065.85,1019.2833333333,-1.7166666667,-48.2833333333
08804,5,0,0,0,1,1,3,0,0,0,0,0,0,27.9166666667,52.8,65.1833333333,24.8833333333,37.2666666667
07950,7,0,3,0,0,1,3,0,0,0,0,0,0,35.8333333333,27.8,93.45,-8.0333333333,57.6166666667
08887,3,1,1,0,1,0,0,0,0,0,0,0,0,12.9666666667,42.5166666667,57.8166666667,29.55,44.85
07760,2,0,0,0,1,1,0,0,0,0,0,0,0,63.85,45.5166666667,101.5333333333,-18.3333333333,37.6833333333
07045,2,0,0,0,1,1,0,0,0,0,0,0,0,39.3333333333,30.95,96.95,-8.3833333333,57.6166666667
08510,4,0,0,1,1,2,0,0,0,0,0,0,0,65.2666666667,52.4333333333,64.3833333333,-12.8333333333,-0.8833333333
08805,7,0,0,0,2,2,3,0,0,0,0,0,0,20.3166666667,27.4166666667,74.8166666667,7.1,54.5
07006,4,0,1,0,0,3,0,0,0,0,0,0,0,45.2833333333,28.15,102.9,-17.1333333333,57.6166666667
07081,15,0,1,2,3,7,0,0,1,1,0,0,0,35.95,9.0333333333,94.35,-26.9166666667,58.4
18017,7,0,0,0,3,1,3,0,0,0,0,0,0,47.4666666667,72.35,47.1166666667,24.8833333333,-0.35
07095,6,0,0,0,2,2,1,1,0,0,0,0,0,37.5166666667,17.9666666667,82.6333333333,-19.55,45.1166666667
07110,2,0,1,0,0,0,0,1,0,0,0,0,0,49.9,21.7,105.2666666667,-28.2,55.3666666667
08550,7,0,2,0,1,3,1,0,0,0,0,0,0,52,48.6666666667,56.9666666667,-3.3333333333,4.9666666667
19468,4,0,1,0,2,0,1,0,0,0,0,0,0,92.9833333333,104,28.7666666667,11.0166666667,-64.2166666667
08721,2,0,2,0,0,0,0,0,0,0,0,0,0,83.25,64.9166666667,97.25,-18.3333333333,14
07720,1,0,0,0,0,1,0,0,0,0,0,0,0,67.3833333333,49.05,83.9,-18.3333333333,16.5166666667
07302,14,0,1,0,3,5,4,0,0,1,0,0,0,50.8833333333,24.65,101.0166666667,-26.2333333333,50.1333333333
07675,4,0,0,0,2,0,1,1,0,0,0,0,0,70.35,42.15,127.0333333333,-28.2,56.6833333333
07728,7,0,0,0,3,2,1,0,1,0,0,0,0,60.5833333333,42.25,74.4666666667,-18.3333333333,13.8833333333
07082,2,0,0,0,2,0,0,0,0,0,0,0,0,42.7833333333,34.4,100.4,-8.3833333333,57.6166666667
08536,2,0,0,0,1,0,1,0,0,0,0,0,0,44.4333333333,42.6166666667,59.7833333333,-1.8166666667,15.35
18074,1,0,1,0,0,0,0,0,0,0,0,0,0,77.0666666667,101.95,28.45,24.8833333333,-48.6166666667
18106,2,0,1,0,0,0,0,0,1,0,0,0,0,57.5833333333,82.4666666667,38.05,24.8833333333,-19.5333333333
08085,2,1,0,0,1,0,0,0,0,0,0,0,0,97.5166666667,90.9,51.8833333333,-6.6166666667,-45.6333333333
07863,3,0,0,1,1,1,0,0,0,0,0,0,0,36.8166666667,61.7,85.6166666667,24.8833333333,48.8
08836,7,0,0,0,2,3,2,0,0,0,0,0,0,21.4166666667,28.8666666667,75.9166666667,7.45,54.5
07432,4,0,0,0,1,2,0,0,1,0,0,0,0,58.7666666667,37.5666666667,116.3833333333,-21.2,57.6166666667
03825,1,0,0,0,1,0,0,0,0,0,0,0,0,320.4166666667,295.6166666667,371.8166666667,-24.8,51.4
08108,1,0,0,1,0,0,0,0,0,0,0,0,0,80.9166666667,79.3333333333,51.65,-1.5833333333,-29.2666666667
18039,1,0,0,0,0,0,1,0,0,0,0,0,0,41.6833333333,66.5666666667,49.6833333333,24.8833333333,8
08884,3,0,1,0,0,0,2,0,0,0,0,0,0,44.8666666667,34.2,75.6833333333,-10.6666666667,30.8166666667
07068,1,0,1,0,0,0,0,0,0,0,0,0,0,43.3,23.3333333333,100.9166666667,-19.9666666667,57.6166666667
19454,7,0,0,0,3,1,3,0,0,0,0,0,0,58.4833333333,85.1833333333,6.6666666667,26.7,-51.8166666667
07834,11,0,5,0,1,2,2,0,1,0,0,0,0,37.5666666667,29.1833333333,95.1833333333,-8.3833333333,57.6166666667
27809,1,0,0,0,0,0,1,0,0,0,0,0,0,412.3,410.5833333333,364.0166666667,-1.7166666667,-48.2833333333
08823,4,0,4,0,0,0,0,0,0,0,0,0,0,34.95,38.4,69.9,3.45,34.95
18064,8,0,3,0,0,1,4,0,0,0,0,0,0,48.6,73.4833333333,61.2166666667,24.8833333333,12.6166666667
18928,1,0,0,0,0,1,0,0,0,0,0,0,0,36.4666666667,68.5,28.4666666667,32.0333333333,-8
19067,8,0,3,0,2,0,0,1,2,0,0,0,0,50.55,63.1333333333,39.9166666667,12.5833333333,-10.6333333333
07921,10,0,3,0,2,3,1,0,0,1,0,0,0,19.2,27.95,72.8333333333,8.75,53.6333333333
19128,1,0,0,0,0,0,0,1,0,0,0,0,0,79.4833333333,90.9166666667,28.0666666667,11.4333333333,-51.4166666667
07726,4,0,3,0,0,0,0,1,0,0,0,0,0,58.05,39.3166666667,68.9666666667,-18.7333333333,10.9166666667
10011,3,0,1,0,1,1,0,0,0,0,0,0,0,56.15,29.9166666667,107.7,-26.2333333333,51.55
08560,3,1,0,0,0,0,2,0,0,0,0,0,0,37,62.9,46.75,25.9,9.75
07208,3,0,0,0,1,1,0,1,0,0,0,0,0,42.25,11.7166666667,92.8166666667,-30.5333333333,50.5666666667
07470,5,0,3,0,0,2,0,0,0,0,0,0,0,50.4833333333,31.4333333333,108.1,-19.05,57.6166666667
08535,3,0,0,1,0,0,2,0,0,0,0,0,0,57.3166666667,44.4833333333,64.25,-12.8333333333,6.9333333333
19473,6,0,1,0,3,1,0,1,0,0,0,0,0,82.9166666667,105.5666666667,18.7,22.65,-64.2166666667
10954,3,0,1,0,1,0,1,0,0,0,0,0,0,66.7166666667,42.2333333333,124.3333333333,-24.4833333333,57.6166666667
07876,1,0,0,0,1,0,0,0,0,0,0,0,0,37.9666666667,41.45,95.5833333333,3.4833333333,57.6166666667
08075,1,0,1,0,0,0,0,0,0,0,0,0,0,70.65,71.8833333333,52.6666666667,1.2333333333,-17.9833333333
34232,1,0,1,0,0,0,0,0,0,0,0,0,0,1025.7,1023.9833333333,977.4166666667,-1.7166666667,-48.2833333333
08835,3,0,1,1,0,0,1,0,0,0,0,0,0,20.9666666667,32.0666666667,73.3333333333,11.1,52.3666666667
08829,7,0,0,0,1,2,2,1,0,0,1,0,0,17.9166666667,42.9833333333,70.3666666667,25.0666666667,52.45
07430,1,0,0,0,0,0,1,0,0,0,0,0,0,58.3,44.8833333333,115.9166666667,-13.4166666667,57.6166666667
07869,9,0,1,1,3,3,0,1,0,0,0,0,0,42.4833333333,34.7,100.1,-7.7833333333,57.6166666667
07450,1,0,0,0,0,1,0,0,0,0,0,0,0,62.45,34.25,119.1333333333,-28.2,56.6833333333
08558,6,0,2,0,2,2,0,0,0,0,0,0,0,33.1833333333,53.7,59.8,20.5166666667,26.6166666667
30331,1,0,0,0,0,0,1,0,0,0,0,0,0,756.35,781.2333333333,739.6833333333,24.8833333333,-16.6666666667
18051,3,0,1,0,1,0,1,0,0,0,0,0,0,58.7666666667,83.65,41.3166666667,24.8833333333,-17.45
07105,1,0,1,0,0,0,0,0,0,0,0,0,0,43.3833333333,17.15,95.3833333333,-26.2333333333,52
07666,2,0,0,0,0,1,0,0,1,0,0,0,0,59.15,32.5,109.3333333333,-26.65,50.1833333333
08534,10,0,3,0,0,6,0,0,1,0,0,0,0,36.3666666667,58.7166666667,48.2,22.35,11.8333333333
10950,1,0,0,0,1,0,0,0,0,0,0,0,0,78.9833333333,65.25,136.6,-13.7333333333,57.6166666667
07946,4,0,2,1,0,0,0,0,0,0,0,0,1,23.95,26,81.9833333333,2.05,58.0333333333
18055,10,0,4,2,1,2,1,0,0,0,0,0,0,46.1333333333,71.0166666667,49.75,24.8833333333,3.6166666667
