zip_code_area,Change in Minutes per Zip Code
07921,53.6333333333
19128,-51.4166666667
07726,10.9166666667
10011,51.55
08560,9.75
07208,50.5666666667
07470,57.6166666667
08535,6.9333333333
19473,-64.2166666667
10954,57.6166666667
07876,57.6166666667
08075,-17.9833333333
34232,-48.2833333333
08835,52.3666666667
08829,52.45
07430,57.6166666667
07869,57.6166666667
07450,56.6833333333
08558,26.6166666667
30331,-16.6666666667
18051,-17.45
07105,52
07666,50.1833333333
08534,11.8333333333
10950,57.6166666667
07946,58.0333333333
18055,3.6166666667
07044,57.6166666667
08753,12.3
07070,49.55
07028,56.5666666667
18974,-21.6
07718,45.3666666667
07738,36.4333333333
66062,-26.2666666667
08859,44.25
08810,23.3
19464,-46.0333333333
19465,-49.1666666667
08858,62.1
07828,60.9
19106,-29.9666666667
08742,14.7
08542,19.7333333333
19135,-26.1833333333
10016,50.6333333333
08016,-17.75
07731,2.5833333333
07751,33.0333333333
18062,-12.8666666667
19444,-54.5666666667
03253,51.4
19428,-52.25
07422,57.6166666667
07871,57.6166666667
18031,-16.8333333333
07001,46.2833333333
07836,57.6166666667
07040,58.0166666667
18964,-50.3666666667
90293,-26.2666666667
07052,57.6166666667
13905,-1.4666666667
08861,45.3666666667
18334,1.8166666667
18322,8.6333333333
07927,57.6166666667
12010,57.6166666667
07060,54.5166666667
18337,33.75
18301,18.1333333333
18977,-0.4
07003,56.5666666667
18072,14.3833333333
08816,36.95
08901,43.9833333333
18104,-16.5
08817,43.2666666667
02482,51.4
08824,28.7333333333
08648,5.3333333333
08619,4.7
07934,57.6166666667
19118,-50.05
07206,43.4166666667
08869,51.8833333333
07086,49.45
10075,48.8666666667
15102,-26.2666666667
95051,-16.6333333333
07204,47.9833333333
19038,-48.6333333333
08730,14.6333333333
08003,-18.35
19401,-57.8166666667
18932,-42.4166666667
27587,-48.2833333333
19440,-47.9
46032,-26.2666666667
94301,-16.6333333333
14770,-13.0833333333
07062,54.5
08062,-39.25
08527,-5.2333333333
19031,-54.2
18360,12.1666666667
15044,-26.2833333333
01070,57.6166666667
19136,-21.7333333333
15003,-26.2666666667
08034,-18.35
08520,6.9333333333
08638,3.1833333333
07069,58.0333333333
15084,-26.2833333333
11510,42.4333333333
08852,22.1166666667
08054,-15.9666666667
08035,-25.6833333333
27807,-48.2833333333
08863,45.4333333333
18940,-4.7333333333
18969,-56.4833333333
19025,-45.1666666667
07039,57.6166666667
07417,57.6166666667
18067,-3.7166666667
07878,57.6166666667
19504,-29.1333333333
19085,-52.0833333333
33331,-48.2833333333
98801,-16.6333333333
07932,57.6166666667
08691,-2.0166666667
08872,37.5333333333
07978,54.6833333333
18038,-2.1166666667
10024,49.45
08879,45.3666666667
08012,-29.75
07866,57.6166666667
07029,53.9333333333
08830,44.6833333333
18966,-17.2333333333
19119,-50.05
22936,-48.2833333333
18942,-8.4833333333
07009,57.6166666667
22314,-48.2833333333
07737,45.3666666667
19115,-28.9
08081,-29.75
19540,-42.2
60202,-16.6333333333
05465,57.6166666667
19087,-55.7666666667
08052,-24.35
08225,-24.0666666667
60611,-16.6333333333
19063,-52.0833333333
10583,50.1833333333
07457,57.6166666667
10033,50.1833333333
20854,-48.2833333333
07724,30.45
07733,39.8333333333
07735,45.3666666667
28211,-18.8
07046,57.6166666667
01104,51.4
10280,51.55
08530,16.3166666667
07093,49.45
07748,43.9333333333
07722,23.6833333333
07480,57.6166666667
10312,45.3833333333
07018,56.5666666667
07926,57.6166666667
18963,1.5666666667
08722,12.5666666667
07481,57.6166666667
07405,57.6166666667
10924,57.6166666667
18077,11.6166666667
02908,50.1833333333
08751,13.6833333333
75230,-17.45
80129,-26.2666666667
92106,-26.2666666667
44026,-16.6166666667
92708,-26.2666666667
07663,57.6166666667
18930,-4.8666666667
10597,54.65
46060,-26.2666666667
10019,49.45
19103,-36.85
07047,49.45
19001,-42.05
07304,50.55
07205,55.3833333333
07980,58.0333333333
08525,23.0833333333
18972,7.9666666667
10028,50.75
98117,-16.6333333333
08088,-13.3333333333
18018,-1.2666666667
07305,50.3333333333
07444,57.6166666667
33624,-48.2833333333
07856,57.6166666667
19125,-27.7833333333
15927,-26.2666666667
08505,-13.0166666667
10708,50.1833333333
07739,35.2666666667
04072,51.4
14221,-1.4666666667
19460,-59.4666666667
08061,-35.8666666667
19090,-39.5333333333
14534,-1.4666666667
07203,46.4666666667
08880,54.5
08690,2.45
07307,52.15
18088,-6.1833333333
98052,-16.6333333333
18092,-22.3666666667
07843,57.6166666667
08518,-19.6
08904,44.2833333333
07079,58.0166666667
14608,-1.4666666667
08010,-16.7
07607,54.2666666667
07031,49.9333333333
94005,-16.6333333333
07961,57.6
10014,51.55
02459,51.4
29926,-48.2833333333
07627,50.1833333333
19064,-52.0833333333
07801,57.6166666667
20148,-48.2833333333
15090,-26.2833333333
08048,-14.9333333333
10010,51.55
07981,57.6166666667
30309,-16.6666666667
33327,-48.2833333333
07440,57.6166666667
07102,52.6666666667
18076,-42.4166666667
07026,53.95
39503,-17.45
27712,-48.2833333333
34105,-48.2833333333
27021,-17.45
24477,-17.45
07650,50.1666666667
21050,-48.0833333333
19046,-40.6
18353,12.1666666667
08318,-31.1666666667
07008,42.55
07112,56.6
10913,54.7333333333
12508,57.6166666667
07011,56.55
10314,45.3833333333
98072,-16.6333333333
41042,-26.2666666667
07423,56.6833333333
11354,50.1833333333
07032,49.55
18080,-17.3166666667
18466,11.8
07310,51.55
18954,-11.7666666667
14701,-16.6166666667
07933,58.0166666667
08094,-29.75
19525,-46.0333333333
21801,-48.2833333333
07603,50.1833333333
08514,-5.2333333333
19437,-53.5333333333
07852,56.15
28590,-48.2833333333
19127,-52.0833333333
17025,-17.45
07041,58.0166666667
76504,-17.45
18923,-22.5833333333
19512,-38.1333333333
07757,32.1166666667
11215,46.1666666667
28269,-19.3
30004,-16.6666666667
