zip_code_area,Average Commute Time
19454,66.6893362263
07834,44.3007312761
08823,40.0091128255
18064,58.1869013179
18928,49.4147862424
19067,58.194021215
07921,30.2197042752
07726,56.5294198007
10011,60.0204757313
08560,49.2893844423
07208,43.4962712954
07470,54.5363548698
08535,56.8703953713
07876,46.8329234973
08835,33.2427595628
08829,34.2158550305
07430,63.1577145612
07869,47.537222758
08558,43.2904130505
18051,66.7862343298
07105,43.8111780778
07666,58.2953069752
08534,48.2885245902
07946,33.7510848602
18055,55.3931774349
07044,50.000208936
07070,52.8023143684
07028,47.4667389907
18974,61.2676550948
07718,56.9512857602
07738,55.2209498554
08859,42.6116023787
08810,47.3619093539
08858,30.1199774992
07828,50.387327226
08542,47.6412889746
07751,52.4601414336
18062,68.1156380585
07871,61.0130022501
07001,43.7601333976
07836,45.3140228222
07040,39.7143040823
07052,46.4361459338
08861,39.9323047252
07927,40.0619897139
07060,36.6477418836
18977,53.3569350691
07003,46.6182658309
18072,62.1956927033
08816,43.1392558663
08901,38.3046689167
18104,62.5837913854
08817,38.8673979428
08824,41.8106235937
08648,52.1781179685
08619,50.6947364192
07934,37.1017598843
07206,45.9528768885
08869,29.3173738348
07086,54.2015991643
07204,41.8534153005
18932,66.3829395693
07062,37.0537849566
08520,53.1090887175
08638,54.2136933462
07069,35.46219865
08852,44.1004178721
08863,37.6591931855
18940,55.674807136
07039,45.2727338476
07417,55.1088797814
18067,67.2880585021
07878,42.8598923176
07932,43.0421890068
08691,55.7849726776
08872,45.5165782707
07978,29.06227901
08879,42.2927033108
07866,51.4725088396
07029,46.1764545162
08830,40.1676470588
18966,61.8834378014
18942,54.1675265188
07009,52.3524670524
07737,59.7954596593
07457,49.762544198
07724,59.9908228865
07733,52.9620620379
07735,49.462270974
07046,44.8706444873
10280,58.5865557698
08530,46.7262375442
07093,56.394045323
07748,55.0947283832
07722,58.725048216
10312,45.9076824172
07018,44.1391915783
07926,42.768587271
18963,47.6253857281
07481,58.6567261331
07405,55.1222757956
18077,47.6712230794
07663,53.8737624558
18930,54.743490839
10019,58.7265268402
07047,53.7918997107
07304,49.2904210865
07205,40.762391514
07980,37.0282786885
08525,45.2484570878
18972,49.6965525554
18018,58.6649308904
07305,50.112270974
07444,52.2595306975
07856,51.1548296368
08505,60.9706203793
07739,61.3434024429
07203,42.6399228544
08880,33.1947605272
08690,55.6207087753
07307,53.806477017
18092,67.9865155898
07843,55.487375442
08904,38.5519366763
07079,43.800233044
07607,56.1353905497
07031,54.2830922533
07961,38.3471391835
10014,57.5346512375
07801,54.0199292832
10010,62.6975088396
07981,40.8913050466
07440,52.0277402764
07102,44.0942864031
07026,55.4279733205
07650,54.9141674703
07008,45.0878576021
07112,40.7083574413
07011,51.4657264545
10314,46.9796689167
07032,44.7656509161
07310,51.2554725169
18954,58.7993490839
07933,37.6807296689
07603,56.5236097718
07852,47.3820636451
07041,39.8336065574
18923,58.2589762134
,
,
,29.06227901
,68.1156380585
